bfs,version,time(ns),version,time(ns),version,time(ns),version,time(ns),version,time(ns)
ff 05,edge-list,1737880,rev-edge-list,1774110,vertex-pull,28460200,vertex-push,48460500,vertex-push-warp,5538780
re 50,edge-list,51361900,rev-edge-list,52579000,vertex-pull,29585400,vertex-push,52307500,vertex-push-warp,127384000
re 30,edge-list,27335800,rev-edge-list,27749200,vertex-pull,31507000,vertex-push,25664500,vertex-push-warp,82975100
re 15,edge-list,1166890,rev-edge-list,1181220,vertex-pull,3265230,vertex-push,779998,vertex-push-warp,4149120
re 05,edge-list,359534,rev-edge-list,363616,vertex-pull,899256,vertex-push,329472,vertex-push-warp,1651880
rw 50,edge-list,55343700,rev-edge-list,56486000,vertex-pull,43788000,vertex-push,56517400,vertex-push-warp,128668000
rw 30,edge-list,35465800,rev-edge-list,35990200,vertex-pull,26307800,vertex-push,33824100,vertex-push-warp,92263600
rw 15,edge-list,15855300,rev-edge-list,16213700,vertex-pull,12421900,vertex-push,14098300,vertex-push-warp,44560800
rw 05,edge-list,7698330,rev-edge-list,7912480,vertex-pull,7269990,vertex-push,7315260,vertex-push-warp,23726000
,,,,,,,,,,
email-Enron.txt,1,,2,,3,,4,,5,
graph,edge-list,6514760,rev-edge-list,6598610,vertex-pull,4382410,vertex-push,5989090,vertex-push-warp,5973140
ff 50,edge-list,1763010,rev-edge-list,1723090,vertex-pull,2208960,vertex-push,4306060,vertex-push-warp,2263650
ff 30,edge-list,456342,rev-edge-list,498501,vertex-pull,2123790,vertex-push,2642610,vertex-push-warp,1644940
ff 15,edge-list,314288,rev-edge-list,358764,vertex-pull,1665400,vertex-push,2174790,vertex-push-warp,1453140
ff 05,edge-list,265256,rev-edge-list,312114,vertex-pull,1644970,vertex-push,2163280,vertex-push-warp,1142940
re 50,edge-list,2526580,rev-edge-list,2598110,vertex-pull,1944840,vertex-push,2557640,vertex-push-warp,3542960
re 30,edge-list,1173360,rev-edge-list,1127740,vertex-pull,2037560,vertex-push,1565090,vertex-push-warp,2915040
re 15,edge-list,1061270,rev-edge-list,983968,vertex-pull,1501290,vertex-push,1303640,vertex-push-warp,2900560
re 05,edge-list,120742,rev-edge-list,113462,vertex-pull,126557,vertex-push,110253,vertex-push-warp,292838
rw 50,edge-list,2776470,rev-edge-list,2910480,vertex-pull,3447420,vertex-push,3284410,vertex-push-warp,3864120
rw 30,edge-list,1623530,rev-edge-list,1702890,vertex-pull,2950610,vertex-push,2474970,vertex-push-warp,3990320
rw 15,edge-list,1318250,rev-edge-list,1402120,vertex-pull,2528530,vertex-push,1978300,vertex-push-warp,3737590
rw 05,edge-list,171737,rev-edge-list,188453,vertex-pull,315864,vertex-push,165076,vertex-push-warp,438796
,,,,,,,,,,
facebook_combined.txt,1,,2,,3,,4,,5,
