pagerank,version,time(ns),version,time(ns),version,time(ns),version,time(ns),version,time(ns),version,time(ns),version,time(ns),version,time(ns)
ff 30,edge-list,8696940,struct-edge-list,8539450,vertex-pull-warp,91631700,vertex-pull-warp-nodiv,75070100,vertex-push,7340800,vertex-push-warp,49081700,,,,
ff 15,edge-list,4534950,struct-edge-list,4448530,vertex-pull-warp,46217600,vertex-pull-warp-nodiv,38029100,vertex-push,3886930,vertex-push-warp,24854300,,,,
ff 05,edge-list,1757340,struct-edge-list,1745860,vertex-pull-warp,16737900,vertex-pull-warp-nodiv,13561100,vertex-push,1580220,vertex-push-warp,9491720,,,,
re 50,edge-list,11663800,struct-edge-list,11582700,vertex-pull-warp,148962000,vertex-pull-warp-nodiv,123490000,vertex-push,11467300,vertex-push-warp,80407500,,,,
re 30,edge-list,6469080,struct-edge-list,6392400,vertex-pull-warp,90538800,vertex-pull-warp-nodiv,74802800,vertex-push,6448820,vertex-push-warp,48761500,,,,
re 15,edge-list,3194410,struct-edge-list,3178490,vertex-pull-warp,45560800,vertex-pull-warp-nodiv,37749600,vertex-push,3257060,vertex-push-warp,24603400,,,,
re 05,edge-list,1284720,struct-edge-list,1296040,vertex-pull-warp,16477700,vertex-pull-warp-nodiv,13474600,vertex-push,1281310,vertex-push-warp,9293440,,,,
rw 50,edge-list,12526500,struct-edge-list,12330000,vertex-pull-warp,149010000,vertex-pull-warp-nodiv,123014000,vertex-push,11658400,vertex-push-warp,80218000,,,,
rw 30,edge-list,7139790,struct-edge-list,7009960,vertex-pull-warp,90634600,vertex-pull-warp-nodiv,74660800,vertex-push,6830000,vertex-push-warp,48763800,,,,
rw 15,edge-list,3604710,struct-edge-list,3527560,vertex-pull-warp,45598900,vertex-pull-warp-nodiv,37701300,vertex-push,3518480,vertex-push-warp,24633700,,,,
rw 05,edge-list,1454290,struct-edge-list,1443850,vertex-pull-warp,16500600,vertex-pull-warp-nodiv,13516400,vertex-push,1414870,vertex-push-warp,9325880,,,,
,,,,,,,,,,,,,,,,
soc-LiveJournal1.txt,1,,2,,3,,4,,5,,6,,7,,8,
graph,edge-list,505338000,struct-edge-list,501346000,vertex-pull,1612050000,vertex-pull-nodiv,668618000,vertex-pull-warp,1645930000,vertex-pull-warp-nodiv,1079380000,vertex-push,926405000,vertex-push-warp,923358000
ff 50,edge-list,155809000,struct-edge-list,154750000,vertex-pull,442799000,vertex-pull-nodiv,182624000,vertex-pull-warp,675636000,vertex-pull-warp-nodiv,485480000,vertex-push,348045000,vertex-push-warp,394041000
ff 30,edge-list,63535000,struct-edge-list,62873500,vertex-pull,184963000,vertex-pull-nodiv,75785100,vertex-pull-warp,368747000,vertex-pull-warp-nodiv,276317000,vertex-push,199083000,vertex-push-warp,225191000
ff 15,edge-list,20334600,struct-edge-list,20034300,vertex-pull,51534900,vertex-pull-nodiv,22161600,vertex-pull-warp,167783000,vertex-pull-warp-nodiv,131758000,vertex-push,137600000,vertex-push-warp,105082000
ff 05,edge-list,5133760,struct-edge-list,5055600,vertex-pull,12836600,vertex-pull-nodiv,5808540,vertex-pull-warp,55433900,vertex-pull-warp-nodiv,44059800,vertex-push,30564700,vertex-push-warp,35248400
